7.63,TV,Manga,Comedy; Supernatural; Romance; Shounen,David Production
7.89,TV,Manga,Comedy; Parody; Romance; School; Shounen,Gonzo
7.55,TV,Manga,Comedy; Magic; School; Shoujo,Satelight
8.21,TV,Original,Comedy; Drama; Magic; Romance; Fantasy,Hal Film Maker
8.67,TV,Manga,Comedy; Drama; Romance; Shounen,J.C.Staff
8.03,TV,Manga,Kids; School; Shoujo,Studio Pierrot; Studio Hibari
7.26,TV,Manga,Magic; Comedy; Romance; School; Shoujo,Production Reed
7.72,TV,Light novel,Action; Drama; Fantasy; Romance; School; Supernatural,J.C.Staff
8.24,TV,Manga,Music; Slice of Life; Comedy; Romance; Josei,J.C.Staff
8.34,TV,Manga,Comedy; Harem; Romance; School; Shoujo,Bones
8.15,TV,Manga,Comedy; Drama; Romance; Shounen Ai,Studio Deen
8.2,TV,Manga,Comedy; Romance; School; Shoujo,J.C.Staff
8.23,TV,Manga,Comedy; Drama; Romance; Shounen Ai,Studio Deen
7.71,TV,Manga,Slice of Life; Comedy; Romance; School; Shoujo,Brain&#039;s Base
7.9,TV,Manga,Action; Adventure; Comedy; Super Power; Supernatural; Shounen,Studio Pierrot
7.53,TV,Manga,Sci-Fi; Comedy; Drama; Romance; Ecchi; Seinen,Madhouse
8.13,TV,Manga,Slice of Life; Drama; Romance; School; Shoujo,Production I.G
8.18,TV,Manga,Action; Adventure; Comedy; Super Power; Martial Arts; Shounen,Studio Pierrot
7.85,TV,Manga,Slice of Life; Comedy; Martial Arts; Fantasy,Studio Deen
8.39,TV,Light novel,Slice of Life; Comedy; Romance; School,J.C.Staff
8.49,TV,Manga,Comedy; Drama; Romance; Shounen,J.C.Staff
7.77,TV,Manga,Comedy; School; Shoujo; Super Power,Group TAC
8.24,TV,Manga,Comedy; Drama; Romance; Shoujo,Hal Film Maker
8.47,TV,Manga,Drama; Game; Josei; School; Slice of Life; Sports,Madhouse
7.68,TV,Light novel,Action; Magic; Fantasy; Supernatural; Demons; Historical; Shoujo,Studio Deen
8.29,TV,Manga,Drama; Game; Josei; School; Slice of Life; Sports,Madhouse
7.7,TV,Manga,Comedy; Romance; Shoujo,TMS Entertainment
8.02,TV,Manga,Action; Comedy; Demons; Supernatural; School; Shounen,Pierrot Plus
7.87,TV,Manga,Drama; Romance; Shoujo,Studio Pierrot
8.33,TV,Manga,Comedy; School; Shounen,Tatsunoko Production
7.1,TV,4-koma manga,Comedy; Romance; Ecchi; School; Seinen,Hal Film Maker; TYO Animations
7.73,TV,Manga,Slice of Life; Comedy; Ecchi; School; Seinen,Shin-Ei Animation
7.77,TV,Manga,Slice of Life; Comedy; Drama; Romance; Fantasy; Shoujo,Studio Deen
8.04,TV,Light novel,Adventure; Fantasy; Comedy; Romance; Historical; Drama,Madhouse
8.54,TV,Manga,Action; Adventure; Comedy; Super Power; Drama; Fantasy; Shounen,Toei Animation
8.18,TV,Manga,Drama; Shoujo,Tokyo Movie Shinsha
7.64,TV,Manga,Action; Comedy; Ecchi; Shounen; Sports,Toei Animation
8.16,TV,Light novel,Adventure; Comedy; Drama; Fantasy; Historical; Romance,Madhouse
7.9,TV,Manga,Action; Adventure; Comedy; Historical; Demons; Supernatural; Magic; Romance; Fantasy; Shounen,Sunrise
6.3,TV,Manga,Ecchi; Comedy; School; Seinen,Zexcs
8.34,TV,Manga,Comedy; Josei; Music; Romance,J.C.Staff
7.92,TV,Novel,Comedy; Horror; Mystery; Shoujo; Supernatural,J.C.Staff
7.53,TV,Light novel,Action; Game; Sci-Fi; Romance; School,Sunrise
8.32,TV,Manga,Comedy; Drama; Romance; Shounen,J.C.Staff
8.41,TV,Manga,Music; Slice of Life; Comedy; Drama; Romance; Josei,J.C.Staff
8.14,TV,Manga,Comedy; Demons; Supernatural; Romance; Fantasy; Shoujo,TMS Entertainment
8.21,TV,Manga,Adventure; Comedy; Drama; Magic; Romance; Fantasy; School; Shoujo,Madhouse
7.78,TV,Manga,Comedy; Sci-Fi; Shoujo,J.C.Staff
8.12,TV,Manga,Slice of Life; Drama; Romance; School; Shoujo,Production I.G
8.07,TV,Manga,Comedy; Drama; Romance; Shounen Ai,Studio Deen
6.49,TV,Original,Comedy; Romance; School; Sci-Fi; Slice of Life,Studio Deen
7.99,TV,Manga,Comedy; Drama; Romance; Shounen Ai,Studio Deen
7.63,TV,Visual novel,Comedy; Drama; Harem; Magic; Music; Romance; School; Shoujo,Yumeta Company
7.92,TV,Manga,Action; Adventure; Super Power; Demons; Shounen,TMS Entertainment
6.2,TV,Unknown,Action; Comedy; Drama; Historical; Romance; Samurai; Shoujo,Milky Cartoon; LMD
0,Movie,Manga,Action; Comedy; Historical; Samurai; Shounen,White Fox
5.79,Music,Original,Kids; Music; Slice of Life,
7.03,OVA,Manga,Hentai,
6.39,TV,Unknown,Adventure; Comedy; Fantasy; Kids; Magic,
6.29,OVA,Unknown,Sci-Fi; Adventure; Space; Mecha,Sunrise
7.4,OVA,Original,Action; Mystery; Horror; Psychological,Lerche
6,OVA,Unknown,Police; Comedy; Romance; Drama,
8.13,TV,Novel,Action; Adventure; Fantasy; Magic; Supernatural,Studio Pierrot
6.04,OVA,Visual novel,Harem; School; Vampire; Shoujo,Production I.G; Zexcs
5.34,OVA,Unknown,Hentai,
5.87,ONA,Unknown,Comedy; Romance,Studio 4°C
6.87,Special,Unknown,Adventure; Comedy; Seinen,
3.44,TV,Manga,Comedy,Kachidoki Studio
7.14,OVA,Manga,Action; Adventure; Mecha; Military; Sci-Fi,Gonzo
6.15,Special,Light novel,Comedy,David Production
6.17,TV,Unknown,Space; Mecha; Military; Mystery; Sci-Fi,
7.35,Special,Light novel,Action; Military; Romance; Sci-Fi; Space,Sunrise
7.42,Special,Original,Comedy,Studio Pierrot
4.32,ONA,Original,Comedy,DLE
5.91,TV,Manga,Action; Samurai,Studio Pierrot
5.86,Special,Unknown,Mecha; Military,Sunrise
0,TV,Manga,Adventure; Mystery; Shounen,Studio VOLN
4.86,Movie,Other,Drama; Historical,
8.01,Movie,Original,Game; Mystery; Psychological; Drama; Thriller,Madhouse
5.85,Music,Music,Music,
6.86,TV,Manga,Game; Fantasy,TMS Entertainment
6.17,Movie,Unknown,Adventure; Comedy; Fantasy; Horror; Supernatural,Toei Animation
6.08,OVA,Visual novel,Fantasy; Hentai,
6.41,TV,Manga,Action; Adventure; Ecchi; Shounen,Xebec
5.73,OVA,Manga,Action; Adventure; Military; Sci-Fi,J.C.Staff; Toei Animation
5.62,Music,Music,Music,
